Category,Indicator name,Description,Definition (US),Definition (global),US item,Global item,US indicator start,US indicator end,Global indicator start,Global indicator end
Behavior,travel_outside_state_7d,Percentage of respodents who reported traveling outside their state in the past 7 days,C6|C6a == 'yes' / any response to C6|C6a,NA,C6|C6a,NA,2021-02-28,2022-02-19,NA,NA
Mental Health,felt_isolated_5d,"Percentage of respondents who reported feeling ""isolated from others"" most or all of the time in the past 5 days",(C8_3 == 'All of the time' | C8_3 == 'Most of the time') / any response to C8_3,NA,C8_3,NA,2020-09-06,2021-03-13,NA,NA
Mental Health,felt_isolated_7d,"Percentage of respondents who reported feeling ""isolated from others"" most or all of the time in the past 7 days",(C8_3 == 'All of the time' | C8_3 == 'Most of the time') / any response to C8_3,NA,C8_3,NA,2021-02-28,2021-08-07,NA,NA
Behavior,direct_contact_covid,Percentage of respondents who report having direct contact with a person who recently tested positive with COVID-19 in the last 24 hours,C11 == 'yes' / any response to C11,NA,C11,NA,2020-04-05,2021-03-13,NA,NA
Behavior,direct_contact_covid_hh,Percentage of respondents whose recent direct contact with a COVID-19 positive person was with a member of their household,C12 == 'yes' / any response to C12,NA,C12,NA,2020-04-05,2021-03-13,NA,NA
Vaccines,initial_dose_one_of_one,"Among those that are vaccinated, the estimated percentage of respondents that reported that they initially received one dose of a one dose vaccine","V2a == ""one dose of a one-dose vaccine"" / any response to V2a","V2a == ""one dose of a one-dose vaccine"" / any response to V2a",V2a,V2a,2022-01-30,2022-06-25,2022-01-30,2022-06-25
Vaccines,initial_dose_one_of_two,"Among those that are vaccinated, the estimated percentage of respondents that reported that they have received the first dose of a two-dose sequence","V2a == ""one dose of a two-dose vaccine"" / any response to V2a","V2a == ""one dose of a two-dose vaccine"" / any response to V2a",V2a,V2a,2022-01-30,2022-06-25,2022-01-30,2022-06-25
Vaccines,initial_dose_two_of_two,"Among those that are vaccinated, the estimated percentage of respondents that reported that they initially received two doses of a two dose vaccine.","V2a == ""two doses of a two-dose vaccine"" / any response to V2a","V2a == ""two doses of a two-dose vaccine"" / any response to V2a",V2a,V2a,2022-01-30,2022-06-25,2022-01-30,2022-06-25
Vaccines,vaccinated_one_booster,"Among those that are vaccinated, the estimated percentage that report having received one additional dose or booster shot.","V2b == ""Yes, I received an additional dose or booster"" / any response to V2b","V2b == ""Yes, I received an additional dose or booster"" / any response to V2b",V2b,V2b,2022-01-30,2022-06-25,2022-01-30,2022-06-25
Vaccines,vaccinated_two_or_more_boosters,"Among those that are vaccinated, the estimated percentage that report having received more than one additional dose or booster shot.","V2b == ""Yes, I received 2 or more additional doses or booster shots"" / any response to V2b","V2b == ""Yes, I received 2 or more additional doses or booster shots"" / any response to V2b",V2b,V2b,2022-01-30,2022-06-25,2022-01-30,2022-06-25
Vaccines,vaccinated_at_least_one_booster,"Among those that are vaccinated, the estimated percentage that report having received at least one booster shot.","V2b == ""Yes, I received an additional dose or booster"" OR V2b == ""Yes, I received 2 or more additional doses or booster shots"" / any response to V2b","V2b == ""Yes, I received an additional dose or booster"" OR V2b == ""Yes, I received 2 or more additional doses or booster shots"" / any response to V2b",V2b,V2b,2022-01-30,2022-06-25,2022-01-30,2022-06-25
Vaccines,vaccinated_no_booster,"Among those that are vaccinated, the estimated percentage that report having not received an additional dose or booster shot.","V2b == ""No, did no receive an additional dose or booster shot"" / any response to V2b","V2b == ""No, did no receive an additional dose or booster shot"" / any response to V2b",V2b,V2b,2022-01-30,2022-06-25,2022-01-30,2022-06-25
Vaccines,vaccinated_booster_accept,"Among those that are vaccinated and have not received a booster shot, the estimated percentage that report that they are accepting - they responded ""yes, definitely"" or ""yes, probably"" planning to get an additional dose or booster shot.","(V2c == ""yes, definitely"" OR V2c == ""yes, probably"") / any response to V2c","(V2c == ""yes, definitely"" OR V2c == ""yes, probably"") / any response to V2c",V2c,V2c,2022-01-30,2022-06-25,2022-01-30,2022-06-25
Vaccines,vaccinated_booster_hesitant,"Among those that are vaccinated and have not received a booster shot, the estimated percentage that report that they are hesitant - they responded ""no, definitely not"" or ""no, probably not"" planning to get an additional dose or booster shot.","(V2c == ""no, probably not"" OR V2c == ""no, definitely not"") / any response to V2c","(V2c == ""no, probably not"" OR V2c == ""no, definitely not"") / any response to V2c",V2c,V2c,2022-01-30,2022-06-25,2022-01-30,2022-06-25
Vaccines,vaccinated_booster_defyes,"Among those that are vaccinated and have not received a booster shot, the estimated percentage that report that they are ""yes, definitely"" planning to get an additional dose or booster shot.","V2c == ""yes, definitely"" / any response to V2c","V2c == ""yes, definitely"" / any response to V2c",V2c,V2c,2022-01-30,2022-06-25,2022-01-30,2022-06-25
Vaccines,vaccinated_booster_probyes,"Among those that are vaccinated and have not received a booster shot, the estimated percentage that report that they are ""yes, probably"" planning to get an additional dose or booster shot.","V2c == ""yes, probably"" / any response to V2c","V2c == ""yes, probably"" / any response to V2c",V2c,V2c,2022-01-30,2022-06-25,2022-01-30,2022-06-25
Vaccines,vaccinated_booster_probno,"Among those that are vaccinated and have not received a booster shot, the estimated percentage that report that they are ""no, probably not"" planning to get an additional dose or booster shot.","V2c == ""no, probably not"" / any response to V2c","V2c == ""no, probably not"" / any response to V2c",V2c,V2c,2022-01-30,2022-06-25,2022-01-30,2022-06-25
Vaccines,vaccinated_booster_defno,"Among those that are vaccinated and have not received a booster shot, the estimated percentage that report that they are ""no, definitely not"" planning to get an additional dose or booster shot.","V2c == ""no, definitely not"" / any response to V2c","V2c == ""no, definitely not"" / any response to V2c",V2c,V2c,2022-01-30,2022-06-25,2022-01-30,2022-06-25
Parenting,oldest_child_male,"Of those that report having a child under 18 years old, the estimated percentage who report that the oldest child is male.",NA,"J8 == ""Male"" / any response to J8",NA,J8,NA,NA,2022-01-30,2022-06-25
Parenting,oldest_child_female,"Of those that report having a child under 18 years old, the estimated percentage who report that the oldest child is female.",NA,"J8 == ""Female"" / any response to J8",NA,J8,NA,NA,2022-01-30,2022-06-25
Parenting,oldest_child_other,"Of those that report having a child under 18 years old, the estimated percentage who report that their oldest child is an other gender.",NA,"(J8 == ""Other"") / any response to J8",NA,J8,NA,NA,2022-01-30,2022-06-25
Vaccines,flu_vaccinated_2021,"Estimated percentage of people reporting having had a seasonal flu vaccination since July 1, 2021 (fielded during Winter of 2021 / 2022)","C17b == ""yes"" / any response to C17b",NA,C17b,NA,2022-01-30,2022-06-25,NA,NA
Vaccines,vaccine_barrier_appointment_location,"Estimated percentage of respondents who report available appointment locations as a barrier to getting the vaccine, among those who have already been vaccinated or have tried to get vaccinated.",V15c|V15b == 'available appointment locations' / any response to V15c|V15b != 'I have not tried to get vaccinated',V18c|V18b == 'available appointment locations' / any response to V18c|V18b != 'I have not tried to get vaccinated',V15bc,V18bc,2021-12-19,2022-02-19,2021-12-19,2022-06-25
Vaccines,vaccine_barrier_appointment_location_has,"Estimated percentage of respondents who report available appointment locations as a barrier to getting the vaccine, among those who have already been vaccinated.",V15c == 'available appointment locations' / any response to V15c,V18c == 'available appointment locations' / any response to V18c,V15c,V18c,2021-12-19,2022-02-19,2021-12-19,2022-02-19
Vaccines,vaccine_barrier_other,"Estimated percentage of respondents who report 'other' as a barrier to getting the vaccine, among those who have already been vaccinated or have tried to get vaccinated.",V15c|V15b == 'other' / any response to V15c|V15b != 'I have not tried to get vaccinated',V18c|V18b == 'other' / any response to V18c|V18b != 'I have not tried to get vaccinated',V15bc,V18bc,2021-12-19,2022-02-19,2021-12-19,2022-06-25
Vaccines,vaccine_barrier_other_has,"Estimated percentage of respondents who report 'other' as a barrier to getting the vaccine, among those who have already been vaccinated.",V15c == 'other' / any response to V15c,V18c == 'other' / any response to V18c,V15c,V18c,2021-12-19,2022-02-19,2021-12-19,2022-02-19
Vaccines,vaccine_barrier_appointment_location_tried,"Estimated percentage of respondents who report available appointment locations as a barrier to getting the vaccine, among those who have tried to get vaccinated.",V15b == 'available appointment locations' / any response to V15b != 'I have not tried to get vaccinated',V18b == 'available appointment locations' / any response to V18b != 'I have not tried to get vaccinated',V15b,V18b,2021-12-19,2022-06-25,2021-12-19,2022-06-25
Vaccines,vaccine_barrier_other_tried,"Estimated percentage of respondents who report 'other' as a barrier to getting the vaccine, among those who have tried to get vaccinated.",V15b == 'other' / any response to V15b != 'I have not tried to get vaccinated',V18b == 'other' / any response to V18b != 'I have not tried to get vaccinated',V15b,V18b,2021-12-19,2022-06-25,2021-12-19,2022-06-25
Vaccines,overall_vaccine_hesitancy,"Estimated percentage of respondents who report vaccine hesitancy (V3a is ""no, definitely"" or ""no, probably"") out of the entire population (all respondents to V1).","(V3a == 'no, definitely' | V3a == 'no, probably') / (any response to V3a | V1 == 'yes' | V15a == 'yes')","(V3a == 'no, definitely' | V3a == 'no, probably') / (any response to V3a | V1 == 'yes' | V15a == 'yes')","V1, V3, V3a, V15a","V1, V3, V3a, V15a",2020-12-20,2022-06-25,2021-01-10,2022-06-25
Behaviors,others_masked,Percentage of people who reported that all or most people they saw when out in public places where social distancing is not possible in the last 7 days wore a mask,(C16 == 'Most people' | C16 == 'All of the people') / (C16 != 'I have not been in public during the past 7 days),NA,C16,NA,2020-11-22,2021-08-07,NA,NA
Behaviors,others_masked_alt,"Alternative indicator for percentage of respondents reporting others are masked in public, includes respondents that report that ""all of the people,"" ""most of the people,"" or ""some of the people"" are masked in public places where social distancing is not possible.",(C16 == 'Most people' | C16 == 'All of the people' | C16 == ‘Some’) / (C16 != 'I have not been in public during the past 7 days),NA,C16,NA,2020-11-22,2021-08-07,NA,NA
Behaviors,wearing_mask_5d_alt,"Alternative indicator for percentage of respondents wearing masks in the last 5 days which includes respondents that report that they wore masks ""all of the time,"" ""most of the time,"" or ""some of the time""",(C14 == 'most of the time' | C14 == 'all of the time' | C14 == 'some of the time' ) / any C14 response,NA,C14,NA,2020-09-06,2021-02-20,NA,NA
Behavior,wearing_mask_7d_alt,"Alternative indicator for percentage of respondents wearing masks in the last 7 days which includes respondents that report that they wore masks ""all of the time,"" ""most of the time,"" or ""some of the time""",(C14a == 'most of the time' | C14a == 'all of the time' | C14a == ‘some of the time’ / any C14a response,(C5 == 'most of the time' | C5 == 'all of the time’ | C5 == ‘some of the time') / any C5 response,C14a,C5,2021-02-07,2022-06-25,2020-04-26,2022-06-25
Behavior,covid_vaccinated_friends_alt,"Alternative indicator for percentage of respondents reporting that their friends are vaccinated, includes respondents that report that ""all of the people,"" ""most of the people,"" and ""some of the people"" are vaccinated.",(H3 == 'All of the people' | H3 == 'Most people' | H3 == ‘Some’) / any response to H3,(H3 == 'All of the people' | H3 == 'Most people' | H3 == ‘Some’) / any response to H3,H3,H3,2021-05-16,2022-06-25,2021-05-16,2022-06-25
Mental Health,anxious_7d_alt,"Alternative indicator for percentage of respondents reporting anxiety in the last 7 days, includes respondents that report that they feel anxiety ""all of the time,"" ""most of the time,"" and ""some of the time.""",(C8_1|C8a_1|C18a == 'All of the time' OR 'Most of the time' OR ‘Some of the time’) / any response to C8_1|C8a_1|C18a,(D1 == 'All of the time' | D1 == 'Most of the time' | D1 == ‘Some’) / any response to D1,"C8_1, C8a_1, C18a",D1,2021-02-28,2022-06-25,2020-04-26,2022-06-25
